1	id=uA6tGoK6RKoC	Тунелът	на Красимир Георгиев	30.09.2008	11.09.2008
2	id=AxzRmIQjCbgC	Любов на живо	на Александър Хараланов	20.10.2008	29.09.2008
3	id=8iF_9Q-yi4cC	Лабиринтът, том първи	на Георги Спасов	25.01.2007	25.07.2007
4	id=mzROsaIj_DAC	Газирана ода за страната на облаците	на Снежана Димитрова	30.06.2008	24.07.2008
5	id=zJywHiadprsC	Лабиринтът, том втори	на Георги Спасов	24.07.2007	08.12.2007
6	id=rQs-IgS2XTMC	Отвъд огледалото	на Таня Такова	25.04.2008	03.06.2008
7	id=O9_yWEui8NwC	Waste Reduction and Minimization in Mining, Ore-Processing and Metallurgical Plants	на Марин Механджиев	02.07.1996	06.08.2005
8	id=Kgsv-_UMgsIC	Таблетка шепотин	на Вихра Милчева	05.09.2008	15.12.2008
9	id=fJ_ZLgxViiAC	Врата за ада	на Николай Нинов	18.01.2009	22.01.2009
10	id=8Q9fG8S_XfgC	Империята	на Ришард Капушчински	10.04.1994	02.02.2009
11	id=9hmiShsGbPQC	CASE технологии	на Ваня Лазарова	20.01.2009	09.02.2009
12	id=iSJriizWO3AC	Летален изход	на Траян Първанов	25.12.1994	12.03.2009
13	id=nV-Eq8WhwSwC	Призрачната колесница	на Дейвис Граб, Джералд Булит, Джон Киър Крос, Ръдиърд Киплинг, Елинер Ридел, Уилки Колинз, Ралф Адам Крем, Уошингтън Ървин, Оскар Уайлд	20.09.1993	12.03.2009
14	id=zjigzFlYpJ4C	Данайски дарове	на Слободан Стоядинович	26.07.1996	12.03.2009
15	id=dU6N8zVzrbkC	Тракийският конник	на Анатолия Павлова	22.09.2006	17.03.2009, прекъснато
16	id=klAHJTFkpK0C	Вампирът от замъка на Дракула	на Барон Олшеври	20.01.1994	17.03.2009
17	id=2-Jmsv_TKpEC	Преди и сега – равно на всякога	на Йордан Каменов	20.09.1995	17.03.2009
18	id=ruu5i6BQ1LYC	Медиацията и гражданският процес	на Маньо Манев	18.06.2004	17.03.2009
19	id=DO3QzLfoXxYC	Нежна революция	на Георги Братанов	25.09.1996	18.03.2009
20	id=33x75OaF368C	На крачка от рая	на Кънчо Атанасов	25.12.1995	18.03.2009
21	id=Pahmj4-oFWgC	Опасният свещеник	на Мати Юряня Йоенсу	05.08.2004	18.03.2009
22	id=QmCA5qLTP_sC	Невчесани мисли	на Станислав Йежи Лец	05.06.2004	23.04.2009
23	id=sn0L9rJYitYC	Без срам	на Дария Радоилова	28.04.2007	24.04.2009
24	id=-jBHCK7cak4C	Ключ за горната земя	на Георги Братанов	05.10.1992	24.04.2009
25	id=jez7x7CzCVoC	Смешна тъга	на Марко Ганчев	13.02.2002	27.04.2009
26	id=TAmZdFR9tgEC	Желю в карикатури	на Красимир Георгиев, Иван Славов, Георги Братанов и Стоян Гроздев	10.03.1993	27.04.2009
27	id=vONoEahf7_EC	Когато отмине студът	на Теодора Янева	30.05.2006	18.05.2009
28	id=Yl2pKAwggL4C	Сезони	на Ася Сократова	30.05.2009	18.05.2009
29	id=fhxh2COMVIsC	Безсезонна жена	на Славка Мариновска	30.09.1993	10.06.2009
30	id=8NymYXPCTkYC	Гумената жена	на Александър Холандер	25.12.1993	10.06.2009
31	id=Cjxul2FfULYC	Намаляване и минимизиране на отпадъците в минните, обогатителните и металургичните предприятия	на Марин Механджиев	02.07.1996	14.06.2009
32	id=zQ6fOZmVUlwC	Арбитражът	на Маньо Манев	10.04.2004	14.06.2009
33	id=lfSk8KZhTdwC	Морето отвътре	на Минко Цоневски	25.12.2005	14.06.2009
34	id=IzG3RUXehLwC	Висока светлина	ред. Георги Братанов и Красимир Георгиев	10.08.1996	15.06.2009
35	id=nwEJXIDL3WEC	Огражден	на Кирил Назъров	15.09.1997	15.06.2009
36	id=TffAhDYFUoQC	Зодиак и здраве	на Джеймс Браун и Майкъл Гибсън	05.03.1993	22.06.2009
37	id=j0NeW4ApxhwC	Иносказания	на Стоян Стоянов	30.10.1995	22.06.2009
38	id=6qjMfZS35-AC	Писатели в епиграмки	на Кирил Назъров	15.12.2001	22.06.2009
39	id=eGT8vuqj3aMC	Върхът на дъното	на Георги Братанов	25.10.1995	22.06.2009
40	id=G67V4K3uA1gC	Съществуване	на Георги Спасов	25.12.1993	24.06.2009
41	id=KSJDE5ysecYC	Вицове за футбола	на Стоян Гроздев	25.04.1994	24.06.2009
42	id=wmtJH2nyLo8C	Вицове за семейни	на Кристел Иванова	30.01.1995	24.06.2009
43	id=N0zpUJALJpcC	Вицове за жените	на Господин Колев	05.02.1995	24.06.2009
